Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
Marsala Fine Curatolo Arini,18.653333333333332,Grillo,Natural Cork,Italy,"{'Walnut', 'Hazelnut', 'Date'}",,17.0,Sicily,{'nan'},,15<Price<=25,ABV>14.5,
"Martinborough Vineyard Pinot Noir 2022, Martinborough",39.986666666666665,Pinot Noir,Screwcap,New Zealand,"{'Sweet Spice', 'Red Fruit', 'Black Cherry', 'Blackberry'}",Red,13.5,Martinborough,"{'Elegant', 'Light'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
Gonzalez Byass 'Matusalem' 30-Year-Old Oloroso Sherry Half Bottle,71.97333333333333,Palomino,Natural Cork,Spain,"{'Sweet Spice', 'Fig', 'Black Cherry', 'Raisin'}",White,20.5,,{'nan'},,Price>50,,
"Meerlust Rubicon 2018/20, South Africa",53.32,Cabernet Sauvignon,Natural Cork,South Africa,"{'Blackberry', 'Red Cherry', 'Tobacco', 'Blackcurrant', 'Chocolate', 'Vanilla', 'Red Fruit', 'Black Fruit', 'Black Plum'}",Red,14.0,Stellenbosch,"{'Full Bodied', 'Savoury'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
Domaine Prunier 'Les Clous' Meursault 2020,90.65333333333332,Chardonnay,Natural Cork,France,"{'Bread', 'Honey', 'Cream', 'Smoke', 'Butter', 'Hazelnut', 'Stone Fruit'}",White,13.5,Burgundy,"{'Rich', 'Toasty'}",2020.0,Price>50,12.5<ABV<=13.5,2015<Vintage<=2020
"Miraval Rosé 2021/22 Magnum, Côtes de Provence",31.993333333333336,Cinsault,Natural Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Mollydooker 'The Boxer' Shiraz 2020/21, Australia",39.986666666666665,Shiraz,Screwcap,Australia,"{'Blackberry', 'Eucalyptus', 'Black Pepper', 'Chocolate', 'Vanilla', 'Liquorice', 'Sweet Spice', 'Blueberry', 'Black Cherry', 'Black Plum'}",Red,16.0,South Australia,"{'Bold', 'Spicy'}",2020.0,25<Price<=50,ABV>14.5,2015<Vintage<=2020
Montepulciano d'Abruzzo 2020/21 Masciarelli,17.32,Montepulciano,Natural Cork,Italy,"{'Red Cherry', 'Raspberry', 'Strawberry', 'Vanilla'}",Red,13.5,Abruzzo,"{'Soft', 'Fruity'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Montes ‘Purple Angel’ Carménère 2019/20, Colchagua Valley",113.33333333333333,Carménère,Natural Cork,Chile,"{'Blackberry', 'Leather', 'Tobacco', 'Black Pepper', 'Blackcurrant', 'Chocolate', 'Vanilla', 'Blueberry', 'Black Cherry', 'Black Plum'}",Red,15.0,Central Valley,"{'Bold', 'Spicy'}",2020.0,Price>50,ABV>14.5,2015<Vintage<=2020
"Morandé 'One to One' Gewürztraminer 2022, Chile",13.32,Gewürztraminer,Screwcap,Chile,"{'Lychee', 'Blossom', 'Pineapple', 'Tropical Fruit'}",White,13.5,Aconcagua,"{'Aromatic', 'Floral'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Morande Reserva One to One Pais 2019/21, Casablanca Valley",11.986666666666666,Pais,Screwcap,Chile,"{'Jammy', 'Red Cherry', 'Blackcurrant'}",Red,14.0,Aconcagua,"{'Elegant', 'Light'}",2021.0,Price<=15,13.5<ABV<=14.5,Vintage>2020
"Mt Difficulty 'Ghost Town' Pinot Noir 2020, Central Otago",50.653333333333336,Pinot Noir,Screwcap,New Zealand,"{'Red Plum', 'Earth', 'Black Cherry', 'Spice'}",Red,14.0,Central Otago,"{'Elegant', 'Light'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Mt. Difficulty 'Roaring Meg' Pinot Gris 2021/22, Central Otago",21.32,Pinot Gris,Screwcap,New Zealand,"{'Pear', 'Melon', 'Stone Fruit', 'Red Apple'}",White,14.0,Central Otago,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Mud House ‘The Woolshed’ Sauvignon Blanc 2020/21, Marlborough",23.986666666666665,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Tropical Fruit', 'Grass'}",White,13.0,Marlborough,"{'Zesty', 'Crisp'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Olivier Dubois 'Cuvée Prestige' Sauvignon Blanc 2021/22, Touraine",15.986666666666666,Sauvignon Blanc,Screwcap,France,"{'Green Apple', 'Citrus Fruit', 'Grass'}",White,13.0,Loire,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Orin Swift 'Abstract' 2020/21, California",59.98666666666667,Grenache,Natural Cork,USA,"{'Cranberry', 'Spice', 'Red Plum', 'Black Pepper', 'Raspberry', 'Red Fruit'}",Red,16.0,California,"{'Bold', 'Spicy'}",2021.0,Price>50,ABV>14.5,Vintage>2020
"Ornellaia 'Le Serre Nuove dell'Ornellaia' 2019/20, Bolgheri",79.98666666666666,Merlot,Natural Cork,Italy,"{'Red Fruit', 'Chocolate', 'Tobacco', 'Vanilla'}",Red,14.5,Tuscany,"{'Full Bodied', 'Savoury'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Oyster Bay Chardonnay 2020/21, Marlborough",16.653333333333332,Chardonnay,Screwcap,New Zealand,"{'Lemon', 'Citrus Fruit', 'Vanilla', 'Stone Fruit', 'Almond', 'Peach'}",White,13.0,Marlborough,"{'Rich', 'Toasty'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Penfolds ‘Father’ Grand Tawny, Australia",35.986666666666665,Grenache,Natural Cork,Australia,"{'Caramel', 'Walnut', 'Raisin', 'Dried Fruit'}",Red,18.5,South East Australia,"{'Full Bodied', 'Savoury'}",,25<Price<=50,ABV>14.5,
"Peter & Ulrich Griebeler Dry Riesling 2021/22, Mosel",18.653333333333332,Riesling,Screwcap,Germany,"{'Apricot', 'Peach', 'Red Apple'}",White,12.5,Germany,"{'Fresh', 'Elegant'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Philippe le Hardi 'Petit Clos' 2019/20, Pommard",106.65333333333332,Pinot Noir,Natural Cork,France,"{'Raspberry', 'Dried Herbs', 'Strawberry', 'Savoury'}",Red,14.0,,"{'Elegant', 'Light'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Pieropan Soave Classico Organic 2021/22, Italy",27.986666666666665,Garganega,Screwcap,Italy,"{'Honey', 'Citrus Fruit', 'Stone Fruit', 'Quince'}",White,12.0,Veneto,"{'Aromatic', 'Floral'}",2022.0,25<Price<=50,ABV<=12.5,Vintage>2020
Pio Cesare Barbaresco 2017/18,70.65333333333334,Nebbiolo,Natural Cork,Italy,"{'Red Fruit', 'Herbaceous', 'Violet'}",Red,14.5,Piedmont,"{'Elegant', 'Light'}",2018.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Planeta Chardonnay 2020/21, Sicily",43.98666666666667,Chardonnay,Natural Cork,Italy,"{'Apricot', 'Butter', 'Vanilla', 'Hazelnut', 'Peach'}",White,14.0,Sicily,"{'Rich', 'Toasty'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
"Planeta 'Cometa' 2020/21, Sicily",41.32,Fiano,Natural Cork,Italy,"{'Cream', 'Peach', 'Citrus Fruit', 'Apricot'}",White,14.0,Sicily,"{'Aromatic', 'Floral'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
Pol Roger 'Sir Winston Churchill' 2013/15 Vintage Champagne,353.3333333333333,Chardonnay,Natural Cork,France,"{'Bread', 'Citrus Fruit', 'Biscuit', 'Almond', 'Peach'}",White,12.5,,"{'Rich', 'Toasty'}",2015.0,Price>50,ABV<=12.5,Vintage<=2015
Puligny-Montrachet 2019/20 Doudet Naudin,93.32,Chardonnay,Natural Cork,France,"{'Bread', 'Honey', 'Cream', 'Floral', 'Butter', 'Hazelnut', 'Stone Fruit'}",White,13.5,Burgundy,"{'Rich', 'Toasty'}",2020.0,Price>50,12.5<ABV<=13.5,2015<Vintage<=2020
"Rasteau 'L'Andéol' 2019/20 Famille Perrin, Rhône Valley",23.986666666666665,Grenache,Natural Cork,France,"{'Blackberry', 'Earth', 'Spice', 'Raspberry', 'Black Plum'}",Red,14.5,Rhône,"{'Bold', 'Spicy'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Reyneke 'Vinehugger' Organic Chenin Blanc 2021/22, South Africa",17.32,Chenin Blanc,Natural Cork,South Africa,"{'Citrus Fruit', 'Stone Fruit', 'Floral'}",White,13.5,Western Cape,"{'Aromatic', 'Floral'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Rijckaert F. Rouve Saint Véran 'Haute Cuvée' 2020/21, Burgundy",30.653333333333332,Chardonnay,Natural Cork,France,"{'Lemon', 'Honey', 'Apricot', 'Cream', 'Floral', 'Butter', 'Peach'}",White,13.0,Burgundy,"{'Ripe', 'Rounded'}",2021.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Robert Oatley 'Signature Series' Cabernet Sauvignon 2018/19, Margaret River",19.986666666666668,Cabernet Sauvignon,Screwcap,Australia,"{'Blackberry', 'Blackcurrant', 'Vanilla', 'Sweet Spice', 'Black Plum'}",Red,14.0,Western Australia,"{'Full Bodied', 'Savoury'}",2019.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
Roberto Sarotto Barbaresco Riserva 'Currà' 2016/17,43.98666666666667,Nebbiolo,Natural Cork,Italy,"{'Red Fruit', 'Herbaceous', 'Violet'}",Red,15.0,Piedmont,"{'Elegant', 'Light'}",2017.0,25<Price<=50,ABV>14.5,2015<Vintage<=2020
"Rustenberg ‘Peter Barlow’ 2017, Stellenbosch",50.653333333333336,Cabernet Sauvignon,Natural Cork,South Africa,"{'Herbaceous', 'Blackcurrant', 'Black Cherry', 'Spice'}",Red,14.5,Stellenbosch,"{'Full Bodied', 'Savoury'}",2017.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Rustenberg 'John X Merriman' 2019/20, Stellenbosch",25.319999999999997,Cabernet Sauvignon,Screwcap,South Africa,"{'Blackberry', 'Leather', 'Tobacco', 'Blackcurrant', 'Black Plum'}",Red,14.5,Stellenbosch,"{'Full Bodied', 'Savoury'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Saint Clair 'Pioneer Block' Albariño 2021/22, Marlborough",26.653333333333332,Albarino,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Peach', 'Blossom'}",White,11.5,Marlborough,"{'Zesty', 'Crisp'}",2022.0,25<Price<=50,ABV<=12.5,Vintage>2020
"Saint Clair 'Pioneer Block 5' Grüner Veltiner 2021, Marlborough",26.653333333333332,Gruner Veltliner,Screwcap,New Zealand,"{'Lime', 'Lemon', 'White Pepper', 'Red Apple'}",White,13.0,Marlborough,"{'Fresh', 'Elegant'}",2020.0,25<Price<=50,12.5<ABV<=13.5,2015<Vintage<=2020
"Saint Clair 'Pioneer Block 28' Pinot Blanc 2021, Marlborough",26.653333333333332,Pinot Blanc,Screwcap,New Zealand,"{'Peach', 'White Pepper', 'Apricot'}",White,13.0,Marlborough,"{'Fresh', 'Elegant'}",2019.0,25<Price<=50,12.5<ABV<=13.5,2015<Vintage<=2020
"Saint Clair 'Pioneer Block' Pinot Noir 2020/21, Marlborough",30.653333333333332,Pinot Noir,Screwcap,New Zealand,"{'Sweet Spice', 'Red Fruit', 'Black Cherry', 'Blackberry'}",Red,14.0,Marlborough,"{'Elegant', 'Light'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
Saint-Véran Les Vignerons des Grandes Vignes 2020/21,23.986666666666665,Chardonnay,Screwcap,France,"{'Lemon', 'Peach', 'Apricot'}",White,13.0,Burgundy,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Santa Rita ‘Medalla Real’ Cabernet Sauvignon 2019/20, Maipo Valley",18.653333333333332,Cabernet Sauvignon,Natural Cork,Chile,"{'Blackcurrant', 'Cedar', 'Green Bell Pepper', 'Black Cherry', 'Black Plum'}",Red,14.0,Central Valley,"{'Full Bodied', 'Savoury'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Santa Rita ‘Medalla Real’ Chardonnay 2020/21, Limari Valley",18.653333333333332,Chardonnay,Natural Cork,Chile,"{'Lemon', 'Peach', 'Nectarine', 'Vanilla'}",White,13.5,North,"{'Rich', 'Toasty'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Shaw + Smith ‘M3’ Chardonnay 2021/22, Adelaide Hills",46.653333333333336,Chardonnay,Screwcap,Australia,"{'Green Apple', 'Lemon', 'Smoke', 'Butter', 'Vanilla', 'Peach'}",White,13.5,South Australia,"{'Rich', 'Toasty'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Shaw + Smith Sauvignon Blanc 2022/23, Adelaide Hills",27.986666666666665,Sauvignon Blanc,Screwcap,Australia,"{'Green Apple', 'Lemon', 'Grapefruit', 'Lime', 'Smoke', 'Citrus Fruit', 'Tropical Fruit'}",White,12.5,South Australia,"{'Zesty', 'Crisp'}",2023.0,25<Price<=50,ABV<=12.5,Vintage>2020
"Smith & Wright Chardonnay 2020/21, Australia",10.653333333333334,Chardonnay,Screwcap,Australia,"{'Green Apple', 'Lemon', 'Butter', 'Vanilla', 'Peach'}",White,13.0,South East Australia,"{'Ripe', 'Rounded'}",2021.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Smith & Wright Merlot 2020/21, Australia",10.653333333333334,Merlot,Screwcap,Australia,"{'Red Cherry', 'Red Plum', 'Vanilla', 'Red Fruit', 'Sweet Spice'}",Red,13.5,South East Australia,"{'Smooth', 'Mellow'}",2021.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Solomonar Reserve Red 2020/21, Romania",13.32,Merlot,Screwcap,Romania,"{'Blackcurrant', 'Vanilla', 'Violet', 'Sweet Spice', 'Black Plum'}",Red,14.5,Romania,"{'Rich', 'Juicy'}",2021.0,Price<=15,13.5<ABV<=14.5,Vintage>2020
"Tahbilk 'The Tower' Marsanne 2019/22, Victoria",18.653333333333332,Marsanne,Screwcap,Australia,"{'Green Apple', 'Wet Stones', 'Herbal', 'Grapefruit', 'Citrus Fruit'}",White,13.0,Victoria,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Taylor's Historical Collection 'The Mallet' Reserve Tawny Port,39.986666666666665,Touriga Nacional,Natural Cork,Portugal,"{'Walnut', 'Red Plum', 'Raisin', 'Fig', 'Toffee', 'Date', 'Sweet Spice', 'Black Plum'}",Tawny,20.0,Douro,{'nan'},,25<Price<=50,ABV>14.5,
"Tbilvino 'Qvevris' Rkatsiteli 2020/21, Georgia",18.653333333333332,Rkatsiteli,Natural Cork,Georgia,"{'Orange', 'Citrus Fruit', 'Spice', 'Herbal'}",White,12.5,Kvareli,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Te Mata Estate Syrah 2020/21, Hawke's Bay",26.653333333333332,Syrah-Shiraz,Screwcap,New Zealand,"{'Red Fruit', 'Black Fruit', 'Spice', 'Vanilla'}",Red,13.5,Hawkes Bay,"{'Bold', 'Spicy'}",2021.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Ten Minutes by Tractor Estate Pinot Noir 2019/20, Mornington Peninsula",61.32,Pinot Noir,Screwcap,Australia,"{'Blackberry', 'Red Cherry', 'Savoury', 'Smoke', 'Raspberry', 'Red Fruit', 'Black Fruit', 'Black Cherry'}",Red,14.0,Victoria,"{'Elegant', 'Light'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
Tenuta San Giorgio ‘Ugolforte’ Brunello di Montalcino DOCG 2016/17,53.32,Sangiovese,Natural Cork,Italy,"{'Charred Wood', 'Violet', 'Red Fruit', 'Blueberry', 'Black Cherry', 'Coffee'}",Red,14.0,Tuscany,"{'Full Bodied', 'Savoury'}",2017.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Terrazas de los Andes Chardonnay 2020, Mendoza",25.319999999999997,Chardonnay,Natural Cork,Argentina,"{'Lemon', 'Peach', 'Smoke', 'Vanilla'}",White,14.0,Mendoza,"{'Rich', 'Toasty'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Terre del Buontalenti 2018/19, Toscana",22.653333333333332,Sangiovese,Natural Cork,Italy,"{'Black Fruit', 'Herbaceous', 'Spice'}",Red,14.0,Tuscany,"{'Full Bodied', 'Savoury'}",2019.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"The King's Legacy Chardonnay 2019/20, Marlborough",21.32,Chardonnay,Screwcap,New Zealand,"{'Green Apple', 'Cream', 'Nectarine', 'Vanilla', 'Orange'}",White,14.0,Marlborough,"{'Rich', 'Toasty'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"The King's Wrath Pinot Noir 2020/21, Marlborough",21.32,Pinot Noir,Screwcap,New Zealand,"{'Sweet Spice', 'Red Fruit', 'Black Cherry', 'Blackberry'}",Red,14.0,Marlborough,"{'Elegant', 'Light'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"The Ned 'Southern Valleys' Pinot Noir 2019/20, Marlborough",19.986666666666668,Pinot Noir,Screwcap,New Zealand,"{'Blackberry', 'Red Cherry', 'Red Plum', 'Smoke', 'Strawberry', 'Red Fruit', 'Raspberry', 'Sweet Spice', 'Black Cherry'}",Red,14.0,Marlborough,"{'Elegant', 'Light'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Thierry Delaunay 'Ceptembre' Sauvignon Blanc 2021/22, France",13.32,Sauvignon Blanc,Screwcap,France,"{'Green Apple', 'Citrus Fruit', 'Grass'}",White,12.0,Loire,"{'Zesty', 'Crisp'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Torbreck 'The Struie' Shiraz 2020/21, Barossa",66.65333333333334,Shiraz,Natural Cork,Australia,"{'Blackberry', 'Eucalyptus', 'Earth', 'Black Pepper', 'Smoke', 'Chocolate', 'Liquorice', 'Mint', 'Black Cherry', 'Black Plum'}",Red,15.0,South Australia,"{'Bold', 'Spicy'}",2021.0,Price>50,ABV>14.5,Vintage>2020
"Two Hands Ares Shiraz 2017/18, Barossa Valley",119.98666666666666,Shiraz,Natural Cork,Australia,"{'Blackberry', 'Blueberry', 'Tobacco', 'Black Pepper', 'Blackcurrant', 'Chocolate', 'Vanilla', 'Sweet Spice', 'Black Fruit', 'Black Plum'}",Red,14.5,South Australia,"{'Bold', 'Spicy'}",2018.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Two Hands 'Bella's Garden' Shiraz 2017/18, Barossa Valley",53.32,Shiraz,Natural Cork,Australia,"{'Blackberry', 'Earth', 'Leather', 'Liquorice', 'Mint', 'Blueberry', 'Black Cherry', 'Black Plum'}",Red,15.0,South Australia,"{'Bold', 'Spicy'}",2018.0,Price>50,ABV>14.5,2015<Vintage<=2020
"Two Hands 'Lily's Garden' Shiraz 2018/19, McLaren Vale",53.32,Shiraz,Natural Cork,Australia,"{'Jammy', 'Blackcurrant', 'Chocolate', 'Coffee', 'Vanilla', 'Sweet Spice', 'Blueberry', 'Black Cherry', 'Black Plum'}",Red,15.0,South Australia,"{'Bold', 'Spicy'}",2019.0,Price>50,ABV>14.5,2015<Vintage<=2020
"Vavasour 'Papa' Sauvignon Blanc 2020, Marlborough",26.653333333333332,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Green Bell Pepper', 'Grass', 'Tropical Fruit'}",White,13.5,Marlborough,"{'Zesty', 'Crisp'}",2020.0,25<Price<=50,12.5<ABV<=13.5,2015<Vintage<=2020
"Vavasour Sauvignon Blanc 2022, Marlborough",18.653333333333332,Sauvignon Blanc,Screwcap,New Zealand,"{'Gooseberry', 'Elderflower', 'Citrus Fruit', 'Passionfruit'}",White,13.5,Marlborough,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Monte Schiavo Organic Verdicchio dei Castelli di Jesi DOC 2022,13.32,Verdicchio,Screwcap,Italy,"{'Lime', 'Lemon', 'Almond', 'Apricot'}",White,12.5,Le Marche,"{'Aromatic', 'Floral'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
Veuve Clicquot 'La Grande Dame' 2012/15 Champagne,280.0,Chardonnay,Natural Cork,France,"{'Green Apple', 'Bread', 'Pear', 'Biscuit', 'Almond'}",White,12.5,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
"VIK Milla Cala 2019/20, Cachapoal Valley",51.98666666666667,Cabernet Sauvignon,Natural Cork,Chile,"{'Blackcurrant', 'Cedar', 'Green Bell Pepper', 'Black Cherry', 'Black Plum'}",Red,14.0,Central Valley,"{'Bold', 'Spicy'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
Vidal-Fleury Côtes du Rhône 2019/20,17.32,Grenache,Natural Cork,France,"{'Blackberry', 'Earth', 'Spice', 'Cedar', 'Raspberry', 'Black Plum'}",Red,15.0,Rhône,"{'Bold', 'Spicy'}",2020.0,15<Price<=25,ABV>14.5,2015<Vintage<=2020
"Villa Maria Cellar Selection Pinot Noir 2020/21, Marlborough",22.653333333333332,Pinot Noir,Screwcap,New Zealand,"{'Sweet Spice', 'Red Fruit', 'Black Cherry', 'Blackberry'}",Red,13.5,Marlborough,"{'Elegant', 'Light'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Villa Vito Pinot Grigio 2021/22, Italy",10.653333333333334,Pinot Grigio,Screwcap,Italy,"{'Lime', 'Lemon', 'Floral'}",White,12.0,Veneto,"{'Smooth', 'Light'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Villarei Albariño 2021/22, Rías Baixas",22.653333333333332,Albarino,Natural Cork,Spain,"{'Wet Stones', 'Lemon', 'Apricot', 'Peach', 'Bread Dough'}",White,13.0,Galicia,"{'Rich', 'Toasty'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Viñalba ‘Cuvée Diane’ 2019/20, Mendoza",53.32,Malbec,Natural Cork,Argentina,"{'Ripe Fruit', 'Vanilla', 'Liquorice', 'Mint', 'Violet', 'Red Fruit', 'Black Fruit'}",Red,15.0,Mendoza,"{'Rich', 'Juicy'}",2019.0,Price>50,ABV>14.5,2015<Vintage<=2020
"Viñalba ‘Parrilla’ Malbec 2020/22, Mendoza",15.986666666666666,Malbec,Natural Cork,Argentina,"{'Red Fruit', 'Black Fruit', 'Violet', 'Ripe Fruit'}",Red,14.5,Mendoza,"{'Soft', 'Fruity'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Viñalba Selección Torrontés 2021/22, Lujan de Cuyo",15.986666666666666,Torrontes,Natural Cork,Argentina,"{'Lychee', 'Pear', 'Floral', 'Stone Fruit', 'Peach'}",White,13.5,Mendoza,"{'Aromatic', 'Floral'}",,15<Price<=25,12.5<ABV<=13.5,
"Vino Nobile Di Montepuliciano 2017/18 Bonacchi, Italy",22.653333333333332,Sangiovese,Natural Cork,Italy,"{'Red Cherry', 'Raspberry', 'Strawberry'}",Red,13.0,Tuscany,"{'Soft', 'Fruity'}",2018.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
Viré-Clessé Vieilles Vignes 2020/22 Christophe Cordier,30.653333333333332,Chardonnay,Natural Cork,France,"{'Lemon', 'Honey', 'Bread', 'Apricot', 'Floral', 'Peach'}",White,14.0,Burgundy,"{'Ripe', 'Rounded'}",2022.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
Voerzio Martini 'La Serra' Barolo DOCG 2017,53.32,Nebbiolo,Natural Cork,Italy,"{'Cigar Box', 'Strawberry', 'Rose', 'Savoury'}",Red,14.5,Piedmont,"{'Elegant', 'Light'}",2017.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Waimea Estates Gewürztraminer 2021/22, Nelson",19.986666666666668,Gewürztraminer,Screwcap,New Zealand,"{'Orange', 'Lychee', 'Citrus Fruit', 'Tropical Fruit'}",White,13.5,Nelson,"{'Aromatic', 'Floral'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Waimea Estates Grüner Veltliner 2021/22, Nelson",17.32,Gruner Veltliner,Screwcap,New Zealand,"{'Pineapple', 'White Pepper', 'Stone Fruit', 'Tropical Fruit'}",White,13.0,Nelson,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Weingut Bründlmayer 'Langenloiser Alte Reben' Organic Grüner Veltliner 2021/22, Langenlois",53.32,Gruner Veltliner,Natural Cork,Austria,"{'Citrus Fruit', 'Stone Fruit', 'Almond', 'Vanilla'}",White,14.5,Austria,"{'Ripe', 'Rounded'}",2021.0,Price>50,13.5<ABV<=14.5,Vintage>2020
"Winemaker Series The Red 2019/20, Swartland",15.986666666666666,Syrah,Natural Cork,South Africa,"{'Blackberry', 'Black Pepper', 'Blackcurrant', 'Chocolate', 'Cedar', 'Black Fruit'}",Red,14.5,Swartland,"{'Smooth', 'Mellow'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Winzer Krems Grüner Veltliner 2021/22, Austria",15.986666666666666,Gruner Veltliner,Screwcap,Austria,"{'Citrus Fruit', 'Peach', 'White Pepper'}",White,13.0,Austria,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Wolf Blass Yellow Label Chardonnay 2021/22, South Australia",13.32,Chardonnay,Screwcap,Australia,"{'Green Apple', 'Lemon', 'Butter', 'Vanilla', 'Peach'}",White,13.5,South Australia,"{'Ripe', 'Rounded'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Wynns Coonawarra Estate 'Black Label' Cabernet Sauvignon 2017/18/19, Coonawarra",39.986666666666665,Cabernet Sauvignon,Screwcap,Australia,"{'Blackberry', 'Spice', 'Blackcurrant', 'Mint', 'Cigar Box', 'Black Plum'}",Red,13.8,South East Australia,"{'Smooth', 'Mellow'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Yalumba Cigar Cabernet Sauvignon 2017/18, Coonawarra",38.65333333333333,Cabernet Sauvignon,Screwcap,Australia,"{'Blackberry', 'Eucalyptus', 'Tobacco', 'Blackcurrant', 'Chocolate', 'Mint', 'Cigar Box', 'Black Plum'}",Red,14.5,South Australia,"{'Smooth', 'Mellow'}",2018.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Yalumba 'The Signature' Cabernet Sauvignon-Shiraz 2018/19, Barossa",55.98666666666667,Cabernet Sauvignon,Natural Cork,Australia,"{'Blackberry', 'Spice', 'Nutmeg', 'Tobacco', 'Smoke', 'Blackcurrant', 'Cedar', 'Vanilla', 'Cinnamon', 'Black Cherry'}",Red,14.5,South Australia,"{'Full Bodied', 'Savoury'}",2018.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
