Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
Maison Alexandre Gauvin Gevrey-Chambertin 2017/19,77.32000000000001,Pinot Noir,Natural Cork,France,"{'Red Cherry', 'Raspberry', 'Earth', 'Strawberry'}",Red,13.5,Burgundy,"{'Elegant', 'Light'}",2019.0,Price>50,12.5<ABV<=13.5,2015<Vintage<=2020
Definition White Burgundy 2021/22,19.986666666666668,Chardonnay,Screwcap,France,"{'Cream', 'Lemon', 'Peach', 'Vanilla'}",White,13.0,Burgundy,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Domaine la Troupe ‘Cuvée Marie’ Viré-Clessé 2020/21,22.653333333333332,Chardonnay,Synthetic Cork,France,"{'Green Apple', 'Citrus Fruit', 'Stone Fruit'}",White,13.0,Burgundy,"{'Fresh', 'Elegant'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Primo Rosso Appassimento 2021/22, Puglia",15.986666666666666,Primitivo,Screwcap,Italy,"{'Black Fruit', 'Black Plum', 'Vanilla'}",Red,14.5,Puglia,"{'Rich', 'Juicy'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Château d’Estoublon ‘Roseblood’ Rosé Méditerranée 2022,27.986666666666665,Grenache,Natural Cork,France,"{'Red Fruit', 'Peach', 'Citrus Fruit'}",Rosé,12.5,Languedoc-Roussillon,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,ABV<=12.5,Vintage>2020
"Capaia One 2019/20, Tygerberg",21.32,Cabernet Sauvignon,Natural Cork,South Africa,"{'Blackberry', 'Spice', 'Leather', 'Blackcurrant', 'Cedar'}",Red,14.5,Western Cape,"{'Smooth', 'Mellow'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Barista Pinotage 2021/22, Western Cape",15.986666666666666,Pinotage,Screwcap,South Africa,"{'Black Plum', 'Chocolate', 'Vanilla', 'Black Fruit', 'Coffee'}",Red,13.0,Western Cape,"{'Full Bodied', 'Savoury'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Men in White Coats Viognier 2022, Western Cape",13.32,Viognier,Screwcap,South Africa,"{'Citrus Fruit', 'Stone Fruit', 'Tropical Fruit', 'Floral'}",White,13.5,Western Cape,"{'Aromatic', 'Floral'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Definition Viognier 2020/21, Languedoc",15.986666666666666,Viognier,Synthetic Cork,France,"{'Honeysuckle', 'Peach', 'Apricot'}",White,14.0,Languedoc-Roussillon,"{'Aromatic', 'Floral'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Alluria Organic Pinot Grigio 2021/22, Sicily",13.32,Pinot Grigio,Screwcap,Italy,"{'Peach', 'Citrus Fruit', 'Floral'}",White,12.0,Sicily,"{'Smooth', 'Light'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Pringle Bay Sauvignon Blanc 2021/22, Western Cape",13.32,Sauvignon Blanc,Screwcap,South Africa,"{'Green Apple', 'Lemon', 'Grapefruit', 'Grass', 'Gooseberry', 'Tropical Fruit'}",White,12.5,Western Cape,"{'Zesty', 'Crisp'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
