year;Alsace;Auvergne;Auxerre-Avalon;Beaujolais and Maconnais;Bordeaux;Burgundy;Champagne;Gaillac- South-West;Germany;High Loire Valley;Ile de France;Jura;Languedoc;Low Loire Valley;Luxembourg;Maritime alps;Northern Italy;Northern Lorraine;Northern Rhone Valley;Savoie;Southern Lorraine;Southern Rhone Valley;Spain;Switzerland (Leman Lake);Various South-East;Vendée - Poitou Charente
1540;;;;;;3.0000;;;;;6.4000;9.0000;;;;;;;11.0000;;;;37.0000;;;
1541;;;;;;;;;;;22.4000;51.5000;;;;;;;;;;14.6000;53.0000;;;
1542;;;;;;;;;;;43.9000;64.5000;;;;;;;;;;;49.0000;;;
1543;;;;;;;;;;;21.3000;51.5000;;;;;;;;;;;48.0000;;22.0000;
1544;;;;;;;;;;;27.3000;41.0000;;;;;;;;;;;;;;
1545;;;;;;11.0000;;;;;12.4000;20.0000;;;;;;;;;;;31.0000;;;
1546;;;;;;23.0000;;;;;13.3000;34.0000;;;;;;;;;;;32.0000;;;
1547;;;;;;31.0000;;;;;21.4000;;;;;;;;;;;;;;19.0000;
1548;;;;;;29.0000;;;;;30.1000;38.0000;;;;;;;;;;;;;22.0000;
1549;;;;;;34.0000;;21.0000;;;22.3000;36.0000;;;;25.0000;;;;;;11.0000;;21.0000;23.0000;
1550;;;;;;37.0000;;10.0000;;;20.3000;49.0000;;;;;;;;;;13.3000;;39.0000;;
1551;;;;;;26.0000;;;;;19.7000;36.0000;;;;;;;;;;11.6000;47.0000;34.8000;;
1552;;;;;;13.0000;;;;;14.9000;29.0000;;;;;;;;;;9.0000;45.0000;27.3000;;
1553;;;;;;35.0000;;28.0000;;;27.4000;46.0000;;;;22.0000;;;;;;16.3000;51.0000;38.3000;;
1554;;;;;;;;;;;14.8000;32.0000;32.2000;;;;;;;;;5.0000;41.0000;30.8000;;
1555;;;;;;40.0000;;;;;47.6000;60.0000;;;;26.5000;;;;;;10.0000;49.0000;45.3000;;
1556;;;;;;5.0000;;;;;;15.0000;;;;7.0000;;;;;;4.8000;41.0000;6.6000;;
1557;;;;;;33.0000;;;;;16.0000;49.0000;;;;27.0000;;;;;;16.0000;70.0000;37.0000;;
1558;;;;;;32.0000;;;;;11.4000;;;;;34.5000;;;;;;13.0000;52.0000;36.0000;;
1559;;;;;;5.0000;;;;;11.4000;25.0000;21.2000;;;25.0000;;;;;;0.0000;;17.0000;;
1560;;;;;;36.0000;;;;;26.3000;45.5000;;;;;;;;;;10.0000;54.0000;42.6000;;
1561;;;;;;14.0000;;;;;3.3000;37.0000;;;;29.0000;;;;;;2.0000;41.0000;32.6000;;
1562;;;;;;;;;;;;42.5000;;;;;;;;;;1.0000;47.0000;33.3000;;
1563;;;;;;30.0000;;16.0000;;;;49.0000;;;;;;;;;;;;44.0000;;
1564;;;;;;46.0000;;;;;34.3000;46.0000;;;;;;;;;;;42.0000;34.6000;;
1565;;;;;;;;;;;;45.0000;;;;35.0000;;;;;;;45.0000;43.3000;;
1566;;;;;;38.0000;;;;;;40.0000;;;;23.0000;;;;;;;42.0000;29.0000;;
1567;;;;;;23.0000;;;;;13.8000;34.0000;;;;;;;;;;;39.0000;41.0000;;
1568;;;;;;30.0000;;;;;13.9000;49.0000;;;;34.0000;;;;;;;48.0000;46.6000;;
1569;;;;;;26.0000;;;;;22.4000;49.0000;;;;33.0000;;;;;;;;50.0000;;
1570;;;;;;35.0000;;;;;27.4000;58.5000;;;;;;;;;;;;52.6000;;
1571;;;;;;;;;;;17.7000;25.0000;;;;17.0000;;;;;;3.6000;;27.6000;;
1572;;;;;;19.0000;;;;;18.7000;28.5000;;;;30.0000;;;;;;14.0000;52.0000;32.6000;;
1573;;;;;;40.0000;;;;;35.4000;55.0000;;;;42.0000;;;;;;19.0000;49.0000;53.6000;;
1574;;;;;;29.0000;;;;;47.7000;36.5000;;;;;;;;;;10.0000;45.0000;34.6000;;
1575;;;;;;26.0000;;;;;20.1000;42.0000;;;;28.0000;;;;;;8.0000;39.0000;38.0000;;
1576;;;;;;36.0000;;;;;26.4000;53.5000;;;;;;;;;;16.0000;55.0000;46.6000;;
